ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,pontos_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,pontos_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
84,7,4/5/2003,18:00,Fluminense,Vasco,,,,,-,Maracanã Fluminense,0,0,RJ,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,8,10/5/2003,16:00,Goias,Flamengo,,,,,-,Serra Dourada,1,1,GO,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,8,10/5/2003,16:00,Santos,Cruzeiro,,,,,Cruzeiro,Vila Belmiro,0,2,SP,MG,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
87,8,10/5/2003,16:00,Parana,Ponte Preta,,,,,Parana,Pinheirão,3,2,PR,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,8,10/5/2003,18:00,Corinthians,Criciuma,,,,,Corinthians,Pacaembu,3,0,SP,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,8,11/5/2003,16:00,Vasco,Bahia,,,,,-,São Januário,1,1,RJ,BA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,8,11/5/2003,16:00,Paysandu,Fluminense,,,,,-,Mangueirão,2,2,PA,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,8,11/5/2003,16:00,Atletico-MG,Sao Paulo,,,,,-,Mineirão Atlético,2,2,MG,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,8,11/5/2003,16:00,Vitoria,Fortaleza,,,,,Vitoria,Barradão,2,1,BA,CE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,8,11/5/2003,16:00,Guarani,Internacional,,,,,Guarani,Brinco de Ouro,3,0,SP,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,8,11/5/2003,16:00,Athletico-PR,Juventude,,,,,Athletico-PR,Arena da Baixada,2,0,PR,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,8,11/5/2003,16:00,Figueirense,Sao Caetano,,,,,Figueirense,Orlando Scarpelli,3,0,SC,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
